"","aDC","Adipocytes","Astrocytes","B-cells","Basophils","CD4+ memory T-cells","CD4+ naive T-cells","CD4+ T-cells","CD4+ Tcm","CD4+ Tem","CD8+ naive T-cells","CD8+ T-cells","CD8+ Tcm","CD8+ Tem","cDC","Chondrocytes","Class-switched memory B-cells","CLP","CMP","DC","Endothelial cells","Eosinophils","Epithelial cells","Erythrocytes","Fibroblasts","GMP","Hepatocytes","HSC","iDC","Keratinocytes","ly Endothelial cells","Macrophages","Macrophages M1","Macrophages M2","Mast cells","Megakaryocytes","Melanocytes","Memory B-cells","MEP","Mesangial cells","Monocytes","MPP","MSC","mv Endothelial cells","Myocytes","naive B-cells","Neurons","Neutrophils","NK cells","NKT","Osteoblast","pDC","Pericytes","Plasma cells","Platelets","Preadipocytes","pro B-cells","Sebocytes","Skeletal muscle","Smooth muscle","Tgd cells","Th1 cells","Th2 cells","Tregs","ImmuneScore","StromaScore","MicroenvironmentScore"
"GSM1621674",0.0409078635598405,0.00681987321357719,7.76566626441044e-18,0.298422602484858,0.0146871156992564,0,0.00100318812582263,0,0.0315165911417625,7.7673902266213e-18,0.00109817544333409,0.0148752498368407,0.0592989178963365,0,0.0794328603264738,0,0.0559739943281562,5.13400752182763e-20,0.00160743023175712,2.41988316986087e-19,2.27478485383288e-19,0.00502422533520716,0.0961108122505946,0,4.08765205309961e-19,3.68155968690928e-19,0.00666738583538517,0.0189632353344877,0,0.000940758297628203,0,0,0,0.0152513423656728,0.00442893944966465,0.00185604287879233,0.000517255365356201,0.110266431177334,0.048660150612395,0.00602141584408137,0,8.64370195266475e-19,0.00231929560660313,4.8424140108229e-19,8.98493960553347e-21,0.0645195089078574,0.000655884516792824,2.493581949794e-20,3.71293802780737e-18,0.00150493370738523,0.0756303027325854,0.00830527805126064,8.02871894481399e-18,0.0133618514991714,0,0.0670195177137344,0.0327025924386067,5.85310545725974e-20,2.36732097790483e-20,0.0866999176302523,0,0.00430457801785632,0.00407238469439475,0,0.215167344737713,0.00340993660678859,0.218577281344502
"GSM1621677",0.0703039619308849,0,2.45116026709523e-18,0.0281454405813643,0.0383218872064305,5.56614410309193e-19,3.59545812835198e-19,0,0,0,1.02220248402702e-19,0.0119989594431793,0.0155507135551586,0,0.0116127673182858,2.92852295777142e-18,0.00891699406857459,0.0103608495677996,0,0.00171396033722627,2.53388750876295e-20,4.02116881051423e-21,0.128558805884674,0.000599439389371147,0,0.00283126668992243,0.00159923031675777,0.0156086524618445,1.36374652015034e-18,0.00109480994732247,2.79347869234082e-19,0,0.00461986467744362,0.00292817645644408,0.000503803515451992,0,7.15541251115154e-19,0.00435518096177292,0.0569571876157222,3.67773064570635e-19,0,4.41566888630399e-18,6.48634845860289e-18,0,0,0.00789379541924742,7.70620273639656e-05,0.0023404881230497,2.50054346818451e-18,0.0490336681656854,0.0514354130565119,0,7.54265323646717e-19,0.0031268247288017,0.00164156462499499,0.010109689988136,0,0.000393307471458541,0,0.130015041997966,0,0.00262916666612633,0.0534193527271472,4.00172506262313e-18,0.0298017680001811,1.26694375438148e-20,0.0298017680001811
"GSM1621679",0.0956361591788171,5.07992827538042e-19,0,0.0540448563739396,0,3.13019924814522e-21,0.00118864137855073,0,0,0.0129637175602346,0.00143157226413255,0.0169830193306343,0.0266258263652962,0.00227442893742758,0.0697494953537615,2.82548420078157e-19,0.0185334629934596,0.000194325905693831,7.23239014849995e-21,0.00805266778060712,0.00185078113464288,0.0110696292707125,0.143877239937387,0.000277857710794175,0,0.000620639669578794,0,0.020184878325038,0.194350764045119,0.00211978460354257,0,0.00376161565271848,0.00950869990391495,0.00260644901498656,0.00405314704426745,0.000140594195656989,0,0.0153570708073171,0.0813983800903086,0.00796559559279273,1.67772762903551e-19,8.71536956006374e-19,0,6.02748767809186e-20,4.62133195159293e-19,0.00721122565437791,0.000360046069333412,0,1.30265080444933e-18,0.0182745023080485,0.06432887890284,0.00281700825564042,4.70498509707089e-18,0.0206225171555357,0.00022203184928558,0.00218926048077848,0,0.000164948302787416,0,0.146443560470774,0,0.0018941982912582,0.0494228931614132,1.99796414608077e-18,0.0653099569685863,0.000925390567321442,0.0662353475359077
"GSM1621684",0.117376387109531,0.00317645261158531,0,0.823301533834463,0,0.0252203567621907,0.142701035717548,0.0192518999625063,0.0424249898059451,1.0846740491272e-17,2.23337116432489e-20,0.136385003685924,0.159738856143351,0.0170578318028078,0.178315491215437,0,0.125063587500524,7.13321695791139e-20,0,0.00273719450583162,0.00328373210399736,0.0125211371146476,0.0264066992255305,0,0.0402764615638709,0.0305611117106419,0.00532796671921279,0.0348285773876688,1.01678685409375e-18,0,0.000301502193168805,0,0.0020628906887663,0.0114149008103239,0.0264241251573875,0.00518580578427102,0.000911559191226378,0.260030186104039,0.0553505491699881,0.00625092603186162,1.29776227540383e-19,6.03788418593495e-18,0.00641632934725222,0.00563117987580126,0,0.187115678428847,0.000955321936296175,7.32708696755464e-18,0,0,0.0181670413172867,0.0251047104391758,0.00815252201528523,0.026226075210079,3.82345386539557e-19,0.0389633186290041,0.0831777598999791,0,0,0.0540116811584526,4.20190544281404e-19,0,0.0785509275781253,0,0.680413929507174,0.0233683231397268,0.703782252646901
"GSM1621686",0.0594299034782542,0,9.35135892602022e-18,0.0662185858830566,1.55476138737218e-18,0,5.21112524489576e-18,8.16590150832393e-19,0,7.79332507851085e-18,0.00299775992967795,0.02549640941884,0.0434402360962799,0.00260515073456127,0.045142717296151,2.49849197925926e-18,0.0185769388715666,0.00284437575384823,0,0.000747862485984546,0.00198083689106617,0,0.136846065753673,2.31295438870997e-20,2.03831166964997e-18,6.55986198921694e-18,6.80651240520241e-19,0.0312955481601849,0.0195954037515212,0.00445014534661931,0.000142043452400484,0.0018176441143431,0.00193905995442048,0.00641949172916657,0.00188287108688197,0.00163470643645184,2.52430330201032e-19,0.0193423461772008,0.0903928714390782,0,1.10050201610484e-18,0,5.20083629588692e-18,0.00162697306909561,0.000231678287255111,0.014323872293167,0.000532706991657843,0,0,8.01638242887574e-19,0.055333838896346,3.54285928390284e-20,0,0.0313051299202661,0,0.0616999286164807,0.00759542822764475,0.0016639577009855,0,0.175869845629383,0,0,0.176922953360666,3.40423699523314e-18,0.0641089153260708,0.000990418445533085,0.0650993337716039
"GSM1621687",0.0471033255793256,0,1.16647225438771e-17,0.0144597838486936,0.0104218940240349,0,3.5045083439189e-19,0,6.409546011145e-20,0.0160456185866618,1.99489214948458e-19,0.00378384493374918,1.39662303352519e-18,2.21448046005588e-18,0.043825438923192,3.76452567763376e-19,0.00247501776121523,0.0007264899834493,0,0.00382679694319195,0.0105367749876713,0.0106936025950952,0.139440010426472,0.00165157821566432,0,0.0491593440737958,0,0.0127734924554142,0.16533866327018,0.00265547677082357,0.00150272361943478,0,0.00152173251078584,2.57740029859101e-20,0.00307104490999499,0.000989956482069231,7.93689040622244e-19,0.00479887451293214,0.0880067880123165,0.00419656092511405,3.87463308381426e-20,9.78883592157935e-19,6.13633085276076e-18,0.0083894968857352,0.0018015657241797,0,0.000160512727636863,0.00148988640452072,0,0.0858530384520132,0.0587361831331788,0,0,0.00772456105717043,1.07170969534928e-19,0.0171701519072136,1.47107331860354e-18,0.001131787603087,5.29413777109079e-19,0.161859538342021,0,0.000192076681659394,0.0930420145053799,0,0.0248833064234971,0.00526838749383564,0.0301516939173327
"GSM1621689",0.0526464488185834,3.69169979657862e-19,0.00554912051147057,0,0.0257764126470899,0,1.21445988700481e-18,2.74682409743986e-19,0,0,0,0,0.0088876661000158,7.51744052468633e-18,0.055436947207556,0,0,0.00190707614088308,2.07667686828583e-18,0.00526419390735195,0.0225279398711211,0,0.112348819905464,0,0.0574031593553662,0.0150322044004108,0,0.0530111196251039,0.305724360613669,0.00135662776373052,0.00966206862007155,0,0.00452845549453967,0,0,0.00227124321349142,2.19240234787093e-19,0,0.0571579634286469,0.00870979177455324,0.0492022072045802,1.74644692642846e-18,0,0.0129303371831416,0.00450810168667426,0,0.000192229754624849,0.0208574686912915,9.62874878880564e-19,0.0767280223402002,0.0179087823547669,0.00189002906503088,0,0.0273810962733806,1.74040324104862e-18,0.0818839608705763,9.95777664436689e-18,0.00306426769523514,2.73043646463607e-18,0.211373098497427,1.14093978780337e-17,1.26333925716381e-17,0.150595361312141,0,0.0502159132021491,0.0399655496132436,0.0901814628153927
"GSM1621691",0.112416798186648,3.10247287205366e-20,7.99378881567414e-19,0.159853278984113,0.0397478441635235,1.19619156768399e-21,0,2.90368570049719e-18,0.00581582617322425,0.00616918236004327,0,0.0223987397205429,0.0462686749720539,1.27149256929096e-18,0.0481186169195516,1.14978882182679e-18,0.0342734683676132,0.00831429349150837,0,0.00650797048726284,0.00717843605443063,0.000785425141683647,0.126385204061733,0.00125008898374455,0,0.00122006903941825,0,0.00882252666378903,0.125551076701888,0.00337794160289334,3.26117363761367e-19,0.00148010260977321,0.00720343170715193,0.00201093339554216,0.0077308011767479,0.000686241752689688,0.000833108556856041,0.0392024627396582,0.0771466368522703,0,0.00592924475124587,0,0.00563085186005373,0.00425379129378201,0.00205376453957052,0.0330978469087955,0.000545674813042669,0.000254239778027567,2.26526909122934e-20,0.0184894417291693,0.0158179751063911,0,0,0.0568729750517075,1.20464692447892e-18,0.103607939901838,0.0120121588342847,0.00276284979857244,4.72888867040194e-20,0.195465187153873,0,0.000146654888497612,0.121497208077648,0.0104738667440699,0.136626535099598,0.00358921802721531,0.140215753126813
"GSM1621695",3.45211162815777e-19,0,1.49010178740683e-18,0.0102099558652417,0.0230472098199592,8.0970202159105e-20,8.73639884071759e-19,1.47356357740874e-18,0.00674394863709201,0.00184005992821704,1.15441213880436e-19,0.00304821538354956,0.0123688383264589,0,0.0946151960076928,0,0.000687624517274702,0.0026750793836292,1.66301777066867e-18,0.00217279406586981,0.00632197748789013,0.0142651511828137,0.151987673480779,0.000285940598887837,3.6697306749622e-18,0.00819256291854508,0,0.0178636949458772,0.135400396468419,0.00472328609952752,0.000751941842143448,0,0,0.00200072013514176,0.000289703976714899,0,0,0.00390664301022996,0.0533697739637252,0.000557656813109511,0,0,5.79118951361362e-19,0.00381465107394831,0.0039600669768281,0.0061926453929352,0.00156994203093364,0.000749397202873833,5.76536439149593e-18,0.027504941280652,0.0576704232302262,0.0061324828778309,4.80472658690367e-18,0.00885595570294247,0.00702283811080807,0.0114990768973642,0,0.00103756497256705,0,0.168625239402338,1.0715874460351e-17,0.0108711587621377,0.0647710744213652,0,0.0204901451180424,0.00316098874394506,0.0236511338619874
"GSM1621698",0.161315701584787,0,1.05594678199066e-18,0.382587503265816,0.0444969921902388,0.0302981235414315,0.0117053738843756,0.0118691935086094,0.0246441594495348,2.12297911961747e-18,0,0.0518280192616052,0.130142519501887,0,0.162485159525163,4.9535540025355e-19,0.0827138761137998,0.0132840943913449,1.32069903120722e-18,0.0060367134131383,0.0107936322931008,0.000766333026643949,0.100460906466937,0,0.0137557033506573,0.02458901155628,3.27011106956077e-19,0.0445117828440975,0.0210656929835625,0.00915953476290708,0.00384358560959774,0.00142600754262503,0.000397997953556542,0.00412333283003923,0.0195251739092939,0.00103021249841413,0.00185623511978281,0.109723889901123,0.0809439433250752,6.68583819132862e-20,0.0164906979389998,0,5.06780114974255e-20,0.012643942513127,5.39503035161283e-05,0.0786330850246267,2.76799168223284e-05,0.0120172039828026,2.06950029151883e-18,0.029258956467562,0.00609676849826693,0.0371103089713897,1.34221588723956e-18,0.0542568732382921,0,0.115809928211969,0.0296911204485088,0.00420090362936331,9.28604234937894e-20,0.143305210325908,6.99155107449928e-18,2.16798455274449e-18,0.244773195960869,0.0600224919646627,0.335031230566356,0.0122746678218791,0.347305898388235
"GSM1621700",0.0959934885936626,1.3561938499599e-19,0.00868110243764574,0.223927920743557,0.0390980458850786,0.0111615950025521,0.0355502039984928,5.39393572402631e-19,0.0108875743923999,0.0162890747518512,5.48584371175762e-20,0.0498620237620811,0.0926331121486042,0,0.17203570681525,7.68977261890604e-20,0.0273375527645141,0,6.24919916283905e-19,0.00989716184155429,0.0116718134813062,0.0166348336187435,0.0892987025845249,5.27733789352823e-05,0.0332955956250049,0.0588300059466918,0,0.0463895952107537,0.16816028426552,0,0.00477925471760061,5.36360723812299e-19,0.00483018870216071,0.000630709642624545,0.00522801756393203,0.0018367947120087,0,0.0693753930524439,0.0577262443641377,0.0108365149954054,0.0122535224641122,1.12372460317657e-19,0,0.0103949598370654,0.00125522591044817,0.0530644623787034,0.000244847429613839,3.78425735231201e-19,0,0.0800733561086553,0.0261031934166507,0.00077369272542704,0,0.0455192307644847,0,0.0196335893982511,0.005858446448727,0.00207866434905438,1.86126708608119e-18,0.188236581964114,0,0,0.116575045658928,0,0.211868986662654,0.0224837045531555,0.234352691215809
"GSM1621703",0.166527331219458,0,2.21509606538613e-18,0.107098805753058,0.0867155852264025,0,0,2.72898521908567e-18,2.66993652351768e-19,3.40009416788028e-18,0,0.0203327840715334,0.0772660199245959,0,0.0946089679747045,3.14760411840469e-19,0.0351651082718612,0.0164226378949254,4.00771127703571e-19,0.00658230724078964,0.0201161816842351,0.0167468390701624,0.12444740690134,0.000439581854529118,0.00817549381922045,0.00633966721657186,0.000503857877396502,0.056663360379548,0.163981579112145,0.00326631558068829,0.00575532065442206,0,0.0100270623090728,0.00261493801576363,0.00268771903545463,0.000100592838463799,9.68963345754203e-19,0.0333295558071767,0.0636370561395648,0.0038975387251202,0.0210874783608448,1.39661270217068e-18,0,0.0202957512049728,0.00610658910357121,0.0217034193297944,5.66776684354049e-05,0.00365379826889669,0,0.0332639965587601,0.0202498466540665,0.0183350928494868,4.78890766446211e-18,0.0336851523459636,1.74585465244138e-18,0.0768149223952435,0.00192497550252479,0.0039962461072466,0,0.178627278500633,0,2.05561260462439e-17,0.276370743206835,1.14677463193218e-17,0.118793154533826,0.0141458377517278,0.132938992285554
"GSM1621704",0.144334548067081,1.93680790658123e-19,0.00792267082495192,0.278992613842434,0.0541966994609018,0.00574831315448955,0.00826647317366839,0,0,1.38677120360938e-19,0,0.0229186679848033,0.067441666233454,1.26773892982517e-18,0.117487701300898,1.42237147355337e-19,0.0504135045632789,0.0200197917949409,0.00156009907821444,0.00397201139682767,0.0181809649854721,0,0.112919293793331,0,0.0268661565460229,0.0193476409894928,0,0.0243088944577759,0.0323087384622113,0.00951426734585557,0.00659002324049495,3.81066334207041e-19,0,0,0.022952186915672,0.0082862638231139,2.83026828002646e-20,0.0813224894089256,0.0770799696624489,0,0.031447182835616,0,0,0.0112258197725964,0.00235515637683299,0.07535789339704,0,0.00930533683183978,6.4499007538825e-19,0.0825273406994269,0.00666593830841024,0.00137211617712665,0,0.0408926878097746,0,0.0895741984072655,0.0272212876304336,0.005668160261329,0,0.159275390225609,2.00614913865492e-18,2.25683627003144e-19,0.20926443500555,0.0167024066131178,0.246391999871462,0.0225235607657475,0.268915560637209
