"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils"
"GSM2462565",0.00721333102813471,0,0.313350411488352,0.0678608015174041,0,0.0935378864686569,0,0.0525372542768936,0,0,0,0.0562599974199984,0.0162278548908242,0.0342022986297944,0.106940719764952,0.156012956930138,0,0,0,0.0281308147953098,0.0677256727895408,0
"GSM2462566",0.0231835425608611,0.0528493261744074,0.276519848608296,0.0103438792579888,0.00522231011211719,0,0.0232661893550378,0.023684336423863,0.0220856529266076,0.0247484328984465,0,0.00463185302897892,0.0245815354900165,0.104932885655336,0.00394639727665881,0.323000008299516,0,0,0.00382716172690215,0.0134167006410607,0.0280896165569346,0.0316703230069708
"GSM2462567",0.0229346226456963,0.013981773307427,0.303923843241324,0.0224219263613618,0,0.188835880061333,0,0.0166074556354575,0.00526665636591099,0,0,0.0350266617387792,0.00527288952468857,0,0.132368020410531,0.141270772313954,0,0,0,0.0844097183047103,0.0276797800888261,0
"GSM2462568",0.0265243644148314,0,0.427395407574863,0,0,0.107621769051899,0,0.0390640057799161,0,0.0138427713656533,0,0.068161844135842,0,0.0262679420352764,0.0733033591029464,0.139308191346167,0,0,0,0.0569369437581618,0.0215734014344438,0
"GSM2462569",0.0336555379042867,0,0.164654463481022,0.0487155692899077,0,0.0912984712960405,0.00382759032561755,0.0335539395099135,0.00128929126411617,0.00652383043271325,0,0.0299768103710545,0,0.0615383283079773,0.0264284586502713,0.41289927349139,0,0,0.0326451389590609,0.0094082904341849,0.0262617474481937,0.0173232588342505
"GSM2462570",0.00999108666850871,0.0268008652630702,0.328049548054311,0,0,0.0743350396235578,0,0.0650343735739414,0.00992642548489601,0.0958273212530546,0,0.0163657655266845,0,0,0.0136677204267986,0.220679707754419,0,0.00814629203199151,0,0.119672177972225,0.0115036763665408,0
"GSM2462571",0.00463731628342431,0.0396270403434232,0.21949129581497,0,0,0.185524477551989,0,0.0276262664366505,0.00911539343306112,0.0487266669415107,0,0.0674018642438729,0.0176102298468753,0,0.13642210620878,0.145956431765305,0.00153510955470599,0,0,0.0644093061301955,0.0294015285253391,0.00251496691989698
"GSM2462572",0.0336221310221419,0,0.218002316610846,0.0330109934428726,0,0.141209939855494,0,0.0578011783560179,0,0,0,0.0887397388838087,0,0,0.124359658768816,0.196564225097366,0.0214671329276601,0,0,0.0441001131496334,0.0330809302355935,0.00804164164975015
"GSM2462573",0,0.0227718281267348,0.244952901246943,0,0,0.118615625998406,0.00699187291219395,0.025487168103658,0,0.0874535497226424,0,0.0345538250707461,0,0.0335483993977359,0.178625764301913,0.182129599726505,0.011041320112382,0,0.0501764897819073,0,0.00365165549823175,0
"GSM2462574",0.00706654680494032,0,0.443608882063701,0.0217176662902151,0,0.0678176486520167,0.0392146766907864,0.00285069860721777,0,0.0235983436690167,0,0.0734210600660297,0.0299210282089169,0,0.0990450856135141,0.0989483008475801,0.000511635916829236,0,0,0.0261303508705427,0.0661480756986937,0
